Name,Type,HasZ,HasM,CoordinateSystem,FeatureDataset,EditorTracking,CatalogPath
ugsgwp.sde.ugs_gw_sites,Polygon,Disabled,Disabled,NAD_1983_UTM_Zone_12N,-,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@ugsgwp.nrwugspgressp.sde\ugsgwp.sde.ugs_gw_sites
objectid,OID,,,,,,
siteid,Integer,,,,,,
projectid,Integer,,,,,,
name,String,,,,,,
latitude,Double,,,,,,
longitude,Double,,,,,,
pod,String,,,,,,
totalwellnumber,Integer,,,,,,
sitedescription,String,,,,,,
notes,String,,,,,,
imagepath,String,,,,,,
linkadditionalinfo,String,,,,,,
longdescription,String,,,,,,
shape,Geometry,,,,,,
st_area(shape),Double,,,,,,
st_length(shape),Double,,,,,,
,,,,,,,
ugsgwp.sde.ugs_ngwmn_casing,Point,Disabled,Disabled,NAD_1983_UTM_Zone_12N,-,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@ugsgwp.nrwugspgressp.sde\ugsgwp.sde.ugs_ngwmn_casing
objectid,OID,,,,,,
agencycd,String,,,,,,
siteno,String,,,,,,
casingdepthfrom,Double,,,,,,
casingdepthfromunit,String,,,,,,
casingdepthto,Double,,,,,,
casingdepthtounit,String,,,,,,
casingmaterial,String,,,,,,
casingdiameter,Double,,,,,,
casingdiameterunit,String,,,,,,
casingthickness,Double,,,,,,
casingthickunit,String,,,,,,
shape,Geometry,,,,,,
,,,,,,,
ugsgwp.sde.ugs_ngwmn_lithology,Point,Disabled,Disabled,NAD_1983_UTM_Zone_12N,-,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@ugsgwp.nrwugspgressp.sde\ugsgwp.sde.ugs_ngwmn_lithology
objectid,OID,,,,,,
agencycd,String,,,,,,
lithologydepthfrom,Double,,,,,,
lithologydepthfromunit,String,,,,,,
lithologydepthto,Double,,,,,,
lithologydepthtounit,String,,,,,,
lithologydescription,String,,,,,,
lithologyid,String,,,,,,
observationmethod,String,,,,,,
siteno,String,,,,,,
unitcolor,String,,,,,,
highlowperm,String,,,,,,
clay,String,,,,,,
silt,String,,,,,,
sand,String,,,,,,
gravel,String,,,,,,
cobbles,String,,,,,,
boulders,String,,,,,,
conglomerate,String,,,,,,
bedrock,String,,,,,,
other,String,,,,,,
fmname,String,,,,,,
comment,String,,,,,,
lithologyunit,String,,,,,,
shape,Geometry,,,,,,
,,,,,,,
