Name,Alias,EditorTracking,CatalogPath,,,THIS table should be deleted
ugsgwp.sde.ugs_gw_reading_old,-,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@ugsgwp.nrwugspgressp.sde\ugsgwp.sde.ugs_gw_reading_old,,,
objectid,OID,,,,,
readingdate,Date,Unique reading date and time for each location,,,,
measuredlevel,Double,,,,,
temperature,Double,temperature (C?),,,,
baroefficiencylevel,Double,,,,,
measureddtw,Double,,,,,
driftcorrection,Double,,,,,
waterelevation,Double,,,,,
locationid,Integer,Unique location id,,,,
,,,,,,
ugsgwp.sde.ugs_ngwmn_monitoring_phy_chem_activities,GWP Monitoring Physical-Chemistry Results,Enabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@ugsgwp.nrwugspgressp.sde\ugsgwp.sde.ugs_ngwmn_monitoring_phy_chem_activities,,,
objectid,OID,,,,,
activityid,String,,,,,
projectid,String,,,,,
monitoringlocationid,String,,,,,
activitystartdate,Date,,,,,
activitystarttime,String,,,,,
temperature_c,Double,,,,,
ph,Double,,,,,
notes,String,,,,,
conduct_uscm,Double,,,,,
personnel,String,,,,,
created_user,String,,,,,
created_date,Date,,,,,
last_edited_user,String,,,,,
last_edited_date,Date,,,,,
,,,,,,
ugsgwp.sde.ugs_ngwmn_monitoring_projects,GWP Monitoring Projects,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@ugsgwp.nrwugspgressp.sde\ugsgwp.sde.ugs_ngwmn_monitoring_projects,,,
objectid,OID,,,,,
projectid,String,,,,,
projectname,String,,,,,
projectdesc,String,,,,,
samplingdesigntype,String,,,,,
qappapproved,String,,,,,
qappagencyname,String,,,,,
attachmentfilename,String,,,,,
attachmenttype,String,,,,,
,,,,,,
ugsgwp.sde.ugs_gw_flow,ugsgwp.sde.ugs_gw_flow_new,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@ugsgwp.nrwugspgressp.sde\ugsgwp.sde.ugs_gw_flow,,,
objectid,OID,,,,,
flowdate,Date,,,,,
comments,SmallInteger,,,,,
locationid,Integer,,,,,
discharge,Double,,,,,
,,,,,,
ugsgwp.sde.ugs_counties,UGS Counties,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@ugsgwp.nrwugspgressp.sde\ugsgwp.sde.ugs_counties,,,
objectid,OID,,,,,
statecode,String,,,,,
county,String,,,,,
countycode,String,,,,,
,,,,,,
ugsgwp.sde.ugs_gw_loc_data_table,Location Data Table Lookup,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@ugsgwp.nrwugspgressp.sde\ugsgwp.sde.ugs_gw_loc_data_table,,,
objectid,OID,,,,,
datatable,String,,,,,
description,String,,,,,
dropdownvalue,String,,,,,
,,,,,,
ugsgwp.sde.ugs_gw_manual_data,-,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@ugsgwp.nrwugspgressp.sde\ugsgwp.sde.ugs_gw_manual_data,,,
objectid,OID,,,,,
readingdate,Date,,,,,
locationid,Double,,,,,
dtwbelowcasing,Double,,,,,
wellname,String,,,,,
current_stickup_height,Double,,,,,
measureby,String,,,,,
tmzn,Integer,,,,,
conductivity,Double,,,,,
waterelevation,Double,,,,,
,,,,,,
